id,in,out,total,,,,,
244,0,3,3,,,,,
245,1,1,2,,,,,
246,1,0,1,,,,,
247,2,2,4,,,,,
248,4,3,7,,,,,
249,1,1,2,,,,,
250,1,1,2,,,,,
251,2,3,5,,,,,
252,1,1,2,,,,,
253,3,3,6,,,,,
254,1,1,2,,,,,
255,2,2,4,,,,,
256,1,1,2,,,,,
257,1,1,2,,,,,
258,1,1,2,,,,,
259,1,3,4,,,,,
260,1,2,3,,,,,
261,2,1,3,,,,,
262,0,2,2,,,,,
263,1,3,4,,,,,
264,1,1,2,,,,,
265,1,1,2,,,,,
266,2,2,4,,,,,
267,2,1,3,,,,,
268,3,2,5,,,,,
269,1,1,2,,,,,
270,1,3,4,,,,,
271,0,2,2,,,,,
272,2,0,2,,,,,
273,4,2,6,,,,,
274,1,2,3,,,,,
275,1,1,2,,,,,
276,2,2,4,,,,,
277,1,1,2,,,,,
278,2,2,4,,,,,
279,1,1,2,,,,,
280,1,1,2,,,,,
281,1,2,3,,,,,
282,1,2,3,,,,,
283,1,2,3,,,,,
284,1,1,2,,,,,
285,5,7,12,,,,,
286,1,1,2,,,,,
287,1,2,3,,,,,
288,1,1,2,,,,,
289,1,1,2,,,,,
290,3,3,6,,,,,
291,1,2,3,,,,,
292,2,4,6,,,,,
293,2,0,2,,,,,
294,2,0,2,,,,,
295,5,2,7,,,,,
296,1,2,3,,,,,
297,3,1,4,,,,,
298,2,2,4,,,,,
299,0,2,2,,,,,
300,1,2,3,,,,,
301,2,2,4,,,,,
302,4,1,5,,,,,
303,2,0,2,,,,,
304,1,3,4,,,,,
305,3,4,7,,,,,
306,2,3,5,,,,,
307,1,2,3,,,,,
308,2,0,2,,,,,
309,1,0,1,,,,,
310,1,1,2,,,,,
311,3,2,5,,,,,
312,0,2,2,,,,,
313,3,4,7,,,,,
314,1,1,2,,,,,
315,1,1,2,,,,,
316,4,4,8,,,,,
317,1,1,2,,,,,
318,1,2,3,,,,,
319,1,2,3,,,,,
320,1,1,2,,,,,
321,2,3,5,,,,,
322,1,1,2,,,,,
323,1,0,1,,,,,
324,1,1,2,,,,,
325,2,4,6,,,,,
326,2,1,3,,,,,
327,1,1,2,,,,,
328,3,4,7,,,,,
329,1,1,2,,,,,
330,2,3,5,,,,,
331,1,1,2,,,,,
332,4,1,5,,,,,
333,2,0,2,,,,,
334,1,1,2,,,,,
335,1,1,2,,,,,
336,4,4,8,,,,,
337,1,1,2,,,,,
338,2,0,2,,,,,
339,1,3,4,,,,,
340,2,1,3,,,,,
341,2,3,5,,,,,
342,2,1,3,,,,,
343,2,0,2,,,,,
344,1,1,2,,,,,
345,1,1,2,,,,,
346,2,2,4,,,,,
347,1,0,1,,,,,
348,1,0,1,,,,,
349,2,0,2,,,,,
350,1,1,2,,,,,
351,2,0,2,,,,,
352,1,0,1,,,,,
353,1,0,1,,,,,
354,2,0,2,,,,,
355,0,2,2,,,,,
356,1,1,2,,,,,
357,1,2,3,,,,,
358,0,2,2,,,,,
359,3,2,5,,,,,
360,1,1,2,,,,,
361,1,1,2,,,,,
362,0,3,3,,,,,
363,1,1,2,,,,,
364,1,0,1,,,,,
365,2,2,4,,,,,
366,4,3,7,,,,,
367,1,1,2,,,,,
368,1,1,2,,,,,
369,2,3,5,,,,,
370,1,1,2,,,,,
371,3,3,6,,,,,
372,1,1,2,,,,,
373,2,2,4,,,,,
374,1,1,2,,,,,
375,1,1,2,,,,,
376,1,1,2,,,,,
377,1,3,4,,,,,
378,1,2,3,,,,,
379,2,1,3,,,,,
380,0,2,2,,,,,
381,1,3,4,,,,,
382,1,1,2,,,,,
383,1,1,2,,,,,
384,2,2,4,,,,,
385,2,1,3,,,,,
386,3,2,5,,,,,
387,1,1,2,,,,,
388,1,3,4,,,,,
389,0,2,2,,,,,
390,2,0,2,,,,,
391,4,2,6,,,,,
392,1,2,3,,,,,
393,1,1,2,,,,,
394,2,2,4,,,,,
395,1,1,2,,,,,
396,2,2,4,,,,,
397,1,1,2,,,,,
398,1,1,2,,,,,
399,1,2,3,,,,,
400,1,2,3,,,,,
401,1,2,3,,,,,
402,1,1,2,,,,,
403,5,7,12,,,,,
404,1,1,2,,,,,
405,1,2,3,,,,,
406,1,1,2,,,,,
407,1,1,2,,,,,
408,3,3,6,,,,,
409,1,2,3,,,,,
410,2,4,6,,,,,
411,2,0,2,,,,,
412,2,0,2,,,,,
413,5,2,7,,,,,
414,1,2,3,,,,,
415,3,1,4,,,,,
416,2,2,4,,,,,
417,0,2,2,,,,,
418,1,2,3,,,,,
419,2,2,4,,,,,
420,4,1,5,,,,,
421,2,0,2,,,,,
422,1,3,4,,,,,
423,5,4,9,,,,,
424,2,3,5,,,,,
425,1,2,3,,,,,
426,2,0,2,,,,,
427,1,0,1,,,,,
428,1,1,2,,,,,
429,3,2,5,,,,,
430,0,2,2,,,,,
431,3,4,7,,,,,
432,1,1,2,,,,,
433,1,1,2,,,,,
434,4,4,8,,,,,
435,1,1,2,,,,,
436,1,2,3,,,,,
437,1,2,3,,,,,
438,1,1,2,,,,,
439,2,3,5,,,,,
440,1,1,2,,,,,
441,1,0,1,,,,,
442,1,1,2,,,,,
443,2,4,6,,,,,
444,2,1,3,,,,,
445,1,1,2,,,,,
446,3,4,7,,,,,
447,1,1,2,,,,,
448,2,3,5,,,,,
449,1,1,2,,,,,
450,4,1,5,,,,,
451,2,0,2,,,,,
452,1,1,2,,,,,
453,1,1,2,,,,,
454,4,4,8,,,,,
455,1,1,2,,,,,
456,2,0,2,,,,,
457,1,3,4,,,,,
458,2,1,3,,,,,
459,2,3,5,,,,,
460,2,1,3,,,,,
461,2,0,2,,,,,
462,1,1,2,,,,,
463,1,1,2,,,,,
464,2,2,4,,,,,
465,1,0,1,,,,,
466,1,0,1,,,,,
467,2,0,2,,,,,
468,1,1,2,,,,,
469,2,0,2,,,,,
470,1,0,1,,,,,
471,1,0,1,,,,,
472,2,0,2,,,,,
473,0,2,2,,,,,
474,1,1,2,,,,,
475,1,2,3,,,,,
476,0,2,2,,,,,
477,3,2,5,,,,,
478,1,1,2,,,,,
479,1,1,2,,,,,
480,0,3,3,,,,,
481,1,1,2,,,,,
482,1,0,1,,,,,
483,2,2,4,,,,,
484,4,3,7,,,,,
485,1,1,2,,,,,
486,1,1,2,,,,,
487,2,3,5,,,,,
488,1,1,2,,,,,
489,3,3,6,,,,,
490,1,1,2,,,,,
491,2,2,4,,,,,
492,1,1,2,,,,,
493,1,1,2,,,,,
494,1,1,2,,,,,
495,1,3,4,,,,,
